# RockClimbingSorting
This C++ project takes the 1000 top rated rock climbing routes across the United States and sorts and manages the data using data structures and algorithms.
The Nose, 2. Southwest Face > B. El Capitan > Valley North Side > Yosemite Valley > Yosemite National Park > California,4,5.9 C2,31,1
Flyboys, Goat Wall > Mazama > Okanogan > Washington,3.1,5.9,18,2
Snake Dike, 3. Southwest Face > D. Half Dome > Valley South Side > Yosemite Valley > Yosemite National Park > California,3.6,5.7 R,8,3
Regular Northwest Face of Half Dome, 1. Northwest Face > D. Half Dome > Valley South Side > Yosemite Valley > Yosemite National Park > California,3.9,5.9 C1,23,4
Epinephrine, Black Velvet Wall > 16-Black Velvet Canyon > Red Rock > Southern Nevada > Nevada,3.9,5.9,13,5
Casual Route,The Diamond > Long's Peak > RMNP - Rock > Alpine Rock > Colorado,3.8,5.10a,7,6
Salathe Wall,2. Southwest Face > B. El Capitan > Valley North Side > Yosemite Valley > Yosemite National Park > California,4,5.9 C2,35,7
Matthes Crest Traverse - South to North,Matthes Crest > Cathedral Range > Tuolumne Meadows > Yosemite National Park > California,3.9,5.7,1,8
Corrugation Corner,Main Wall > Main Formation > Lover's Leap > Highway 50 Corridor > Lake Tahoe > California,3.9,5.7,3,9
Moby Grape,4. Moby Grape Area > *Cannon Cliff > New Hampshire,3.8,5.8 PG13,7,10
The Moonlight Buttress (Clean Aid),Moonlight Buttress > Zion National Park > Southwest Utah > Utah,3.8,5.8 C1,10,11
Lower Exum Ridge,Grand Teton > Grand Teton National Park > Wyoming,3.9,5.7,6,12
Sons of Yesterday,Western Royal Arches > Royal Arches > H. Royal Arches Area > Valley North Side > Yosemite Valley > Yosemite National Park > California,3.9,-5.1,6,13
Rewritten,Redgarden - Lumpe to the top > Redgarden Wall > Eldorado Canyon SP > Boulder > Colorado,3.7,5.7,6,14
The Yellow Spur,Redgarden - Tower One > Redgarden Wall > Eldorado Canyon SP > Boulder > Colorado,3.8,5.9+,6,15
Outer Space,Snow Creek Wall > Snow Creek Area > Icicle Creek > Leavenworth > Central-East Cascades Wenatchee & Leavenworth > Washington,3.8,5.9,6,16
The Bastille Crack,The Bastille - N Face > The Bastille > Eldorado Canyon SP > Boulder > Colorado,3.5,5.7,5,17
North East Ridge,Bugaboo Spire > The Bugaboos > Purcell Mountains > Columbia Mountains > British Columbia > Canada > North America > International,3.9,-5.8,10,18
The Direct North Ridge w/ Gendarme,Mt Stuart > Stuart-Enchantments > Central-East Cascades Wenatchee & Leavenworth > Washington,3.9,5.9+,20,19
Northeast Face,Pingora > Cirque of the Towers > Wind River Range > Wyoming,3.8,5.8+,12,20
Durrance,Durrance Approach > Devils Tower > Wyoming,3.4,5.7+,6,21
Playin' Hooky,Creek Side > Clear Creek Canyon > Golden > Colorado,3.3,5.8,4,22
Whitney Gilman Ridge,1. Whitney-Gilman Area > *Cannon Cliff > New Hampshire,3.7,5.7,6,23
Mithril Dihedral,Mt. Russell > 14 - Whitney & Surrounding Peaks > High Sierra > California,3.9,5.9+,6,24
Central Pillar of Frenzy,6. Middle Cathedral Rock > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California,3.8,5.9,5,25
Crimson Chrysalis,Cloud Tower > 11-Juniper Canyon > Red Rock > Southern Nevada > Nevada,3.6,5.8+,9,26
Tenaya Matthes Cathedral Traverse,Cathedral Range Enchainments > Cathedral Range > Tuolumne Meadows > Yosemite National Park > California,3.9,5.7,1,27
Steck-Salathe,M. Sentinel Rock > Valley South Side > Yosemite Valley > Yosemite National Park > California,3.8,-5.1,15,28
South Face,Petit Grepon > RMNP - Rock > Alpine Rock > Colorado,3.7,5.8,8,29
East Buttress,Mt. Whitney > 14 - Whitney & Surrounding Peaks > High Sierra > California,3.6,5.7,11,30
Upper North Ridge w/Great Gendarme,Mt Stuart > Stuart-Enchantments > Central-East Cascades Wenatchee & Leavenworth > Washington,3.9,5.9,18,31
Thunderbolt to Sill Traverse,Thunderbolt Peak > 09 - Palisades & Surrounding Peaks > High Sierra > California,3.9,5.9 Easy Snow,1,32
Klahanie Crack,Shannon Falls Wall > Shannon Falls > Squamish > British Columbia > Canada > North America > International,3.7,5.7,1,33
Third Pillar Regular Route,Dana Plateau > Lee Vining Canyon / Tioga Road > Sierra Eastside > California,3.8,-5.1,5,34
The Nutcracker Suite (aka Nutcracker),5. Manure Pile Buttress (aka Ranger Rock) > C. El Cap Picnic Area (Eagle Creek) > Valley North Side > Yosemite Valley > Yosemite National Park > California,3.6,5.8,5,35
North Chimney,Castleton Tower > Castle Valley > Southeast Utah > Utah,3.6,5.9,4,36
South Face,Charlotte Dome > 12 - Kearsarge Pass to Cedar Grove > High Sierra > California,3.8,5.8,12,37
Bonnie's Roof,i. High E > The Trapps > The Gunks > New York,3.8,5.9,2,38
Rock Wars,Long Wall > Northern Gorge > Red River Gorge > Kentucky,3.9,5.10a,1,39
Center Route,Cynical Pinnacle > Cathedral Spires Area > South Platte > Colorado,3.9,5.9+,3,40
Monkey Off My Back,(s) Monkey Face > Smith Rock > Central Oregon > Oregon,3.7,5.8+,1,41
Regular Route,North Face > Fairview Dome > Tuolumne Meadows > Yosemite National Park > California,3.7,5.9,12,42
Dark Shadows,Dark Shadows Wall > Mescalito > 10-Pine Creek Canyon > Red Rock > Southern Nevada > Nevada,3.6,5.8,4,43
Igor Unchained,The Witch > The Needles > The Needles / Kern River > Western Sierra > California,3.8,5.9+,3,44
Airy Interlude,The Witch > The Needles > The Needles / Kern River > Western Sierra > California,3.9,5.10a,3,45
Irene's Arete,Disappointment Peak > Grand Teton National Park > Wyoming,3.8,5.8,7,46
